Id,Label
Oppenheimer,Oppenheimer
Kitty,Kitty
Tatlock,Tatlock
Lawrence,Lawrence
Alvarez,Alvarez
Feynman,Feynman
Rabi,Rabi
Bainbridge,Bainbridge
Kistiakowsky,Kistiakowsky
Fuchs,Fuchs
Strauss,Strauss
Edward Teller,Edward Teller
Groves,Groves
Vannevar Bush,Vannevar Bush
Pash,Pash
Robb,Robb
Lt Johnson,Lt Johnson
Donald,Donald
Einstein,Einstein
Bohr,Bohr
Hans Bethe,Hans Bethe
Kenneth Nichols,Kenneth Nichols
Ernest Lawrence,Ernest Lawrence
Robert Serber,Robert Serber
Charlotte Serber,Charlotte Serber
Frank Oppenheimer,Frank Oppenheimer
Jackie Oppenheimer,Jackie Oppenheimer
Peter Oppenheimer,Peter Oppenheimer
Jean Tatlock,Jean Tatlock
Lewis Strauss,Lewis Strauss
Roger Robb,Roger Robb
Boris Pash,Boris Pash
General Groves,General Groves